Optimization Flag,Plain,Unroll 2,Unroll 4
O0,1.616,1.573,1.465
O1,0.362,0.208,0.145
O2,0.357,0.198,0.150
O3,0.357,0.201,0.148
Ofast,0.092,0.097,0.110
